"ATTAINS.parameter","CST.pollutant","CST.std.pollutant"
"GUTHION","guthion","guthion"
"IRON","iron","iron"
"MALATHION","malathion","malathion"
"CHLORINE","chlorine","chlorine"
"2,6-DINITROTOLUENE","2,6-dinitrotoluene","2,6-dinitrotoluene"
"2-NITROPHENOL","2-nitrophenol","2-nitrophenol"
"4-NITROPHENOL","4-nitrophenol","4-nitrophenol"
"PARATHION","parathion","parathion"
"PENTACHLOROBENZENE","pentachlorobenzene","pentachlorobenzene"
"DI-N-BUTYL PHTHALATE","di-n-butyl phthalate","di-n-butyl phthalate"
"NONYLPHENOL","nonylphenol","nonylphenol"
"TEMPERATURE","temperature","temperature"
"ENDOTHALL","endothall","endothall"
"MANGANESE","manganese","manganese"
"METHOXYCHLOR","methoxychlor","methoxychlor"
"METHYL BROMIDE","methyl bromide","methyl bromide"
"KEPONE","kepone","kepone"
"METHYLMERCURY","methylmercury","methylmercury"
"MIREX","mirex","mirex"
"CHLORINATED BENZENES","chlorinated benzenes","chlorinated benzenes"
"PHTHALATE ESTERS","phthalate esters","phthalate esters"
"DI-2-ETHYLHEXYL PHTHALATE","di-2-ethylhexyl phthalate","bis(2-ethylhexyl) phthalate"
"PENTACHLOROETHANE","pentachloroethane","pentachloroethane"
"TRICHLORINATED ETHANES","trichlorinated ethanes","trichlorinated ethanes"
"DICHLORODIFLUOROMETHANE","dichlorodifluoromethane","dichlorodifluoromethane"
"DICHLOROETHYLENES","dichloroethylenes","dichloroethylenes"
"HALOMETHANES","halomethanes","halomethanes"
"DI-N-OCTYL PHTHALATE","di-n-octyl phthalate","di-n-octyl phthalate"
"ALPHA-BHC","alpha-bhc","alpha-hexachlorocyclohexane (hch)"
"ANILINE","aniline","aniline"
"NITRATE","nitrate","nitrates"
"TURBIDITY","turbidity","turbidity"
"FECAL COLIFORM","fecal coliform","fecal coliform"
"TOTAL COLIFORM","total coliform","total coliform"
"ENTEROCOCCUS","enterococcus","enterococci"
"EPICHLOROHYDRIN","epichlorohydrin","epichlorohydrin"
"ETHYLENE GLYCOL","ethylene glycol","ethylene glycol"
"CHROMIUM","chromium","chromium"
"4,4'-DDT","4,4'-ddt","p,p'-dichlorodiphenyltrichloroethane (ddt)"
"AMMONIA, UN-IONIZED","ammonia, un-ionized","ammonia"
"1,1,1,2-TETRACHLOROETHANE","1,1,1,2-tetrachloroethane","1,1,1,2-tetrachloroethane"
"1,3-DICHLOROPROPANE","1,3-dichloropropane","1,3-dichloropropane"
"1,2,4,5-TETRACHLOROBENZENE","1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene"
"CARBARYL","carbaryl","carbaryl"
"DIAZINON","diazinon","diazinon"
"ENDOSULFAN","endosulfan","endosulfan"
"SIMAZINE","simazine","simazine"
"STYRENE","styrene","styrene"
"SULFATE","sulfate","sulfate"
"TERT-BUTYLBENZENE","tert-butylbenzene","tert-butylbenzene"
"ACETALDEHYDE","acetaldehyde","acetaldehyde"
"ALACHLOR","alachlor","alachlor"
"ALDICARB","aldicarb","aldicarb"
"BROMOCHLOROMETHANE","bromochloromethane","bromochloromethane"
"TRANS-1,2-DICHLOROETHENE","trans-1,2-dichloroethene","trans-1,2-dichloroethylene"
"2,2-DICHLOROPROPANE","2,2-dichloropropane","2,2-dichloropropane"
"2,4-DICHLOROPHENOXYACETIC ACID","2,4-dichlorophenoxyacetic acid","chlorophenoxy herbicide (2,4-d)"
"1,1-DICHLOROETHANE","1,1-dichloroethane","1,1-dichloroethane"
"1,2,3-TRICHLOROPROPANE","1,2,3-trichloropropane","1,2,3-trichloropropane"
"1,2,4-TRIMETHYLBENZENE","1,2,4-trimethylbenzene","1,2,4-trimethylbenzene"
"1,2-DIBROMO-3-CHLOROPROPANE","1,2-dibromo-3-chloropropane","1,2 dibromo-3-chloropropane"
"1,3,5-TRIMETHYLBENZENE","1,3,5-trimethylbenzene","1,3,5-trimethylbenzene"
"CYLINDROSPERMOPSIN","cylindrospermopsin","cylindrospermopsin"
"URANIUM","uranium","uranium"
"OIL AND GREASE","oil and grease","oil and grease"
"TRANS-1,2-DICHLOROETHYLENE","trans-1,2-dichloroethylene","trans-1,2-dichloroethylene"
"SEC-BUTYLBENZENE","sec-butylbenzene","sec-butylbenzene"
"BROMODICHLOROMETHANE","bromodichloromethane","dichlorobromomethane"
"METOLACHLOR","metolachlor","metolachlor"
"TRITIUM","tritium","tritium"
"VANADIUM","vanadium","vanadium"
"CARBOFURAN","carbofuran","carbofuran"
"CARBON DISULFIDE","carbon disulfide","carbon disulfide"
"N-NITROSODIETHYLAMINE","n-nitrosodiethylamine","nitrosodiethylamine"
"COBALT","cobalt","cobalt"
"FLUORIDE","fluoride","fluoride"
"METHYL PARATHION","methyl parathion","methyl parathion"
"DIQUAT","diquat","diquat"
"FORMALDEHYDE","formaldehyde","formaldehyde"
"XYLENE","xylene","xylene"
"DINOSEB","dinoseb","dinoseb"
"HYDROGEN SULFIDE","hydrogen sulfide","hydrogen sulfide"
"HEXACHLOROPHENE","hexachlorophene","hexachlorophene"
"HYDRAZINE","hydrazine","hydrazine"
"HYDROQUINONE","hydroquinone","hydroquinone"
"MAGNESIUM","magnesium","magnesium"
